chain,beta0,beta1,beta2,beta3,sigma
chain_0,18.92837734471736,3.1556925118271906,-2.1908576589992017,-4.371486270055295,11.031080086828778
chain_0,18.56841852550693,8.09274650790192,8.623133375275465,-18.96435452470237,8.43513851749182
chain_0,16.428100664407363,24.29069384413729,-33.41370946154123,8.423696825018926,12.325586542997328
chain_0,17.070876000624565,-0.3120457048374498,-7.598830459895188,6.57417323036883,10.959402919471549
chain_0,16.02853222635927,-3.098010731701247,-5.068651016084646,6.492513447035521,10.264551798809997
chain_0,13.997903282949554,-0.5148407178896164,-13.915238296933644,13.484942497634531,10.09017301115632
chain_0,20.201834002701144,-5.040456919922052,-2.9677112912800907,8.963746829778954,15.92399150890859
chain_0,22.89500660577399,3.772593292891992,-12.850281622963308,12.542400851693383,16.286849236610653
chain_0,24.70115894123345,-10.64462330706803,-5.777466335696291,19.304537235507933,14.936023018076394
chain_0,24.557160443700603,-4.424048860723185,4.353894639870608,4.8476243529054,14.12017744250848
chain_0,15.364535866458905,20.829241505746737,-2.5606148375302817,-18.087754001800025,9.991718319255355
chain_0,13.421499791609042,0.2021233450989608,-9.146136344561162,6.588091488925934,10.05283805106137
chain_0,21.130418498778237,19.80391438784352,-8.023900426578702,-13.875203494274102,11.885206521239772
chain_0,20.890551691860946,6.191794965065304,-8.457105760719728,4.368082953741613,10.749508637356048
chain_0,13.779564072641575,8.130519049717499,15.709213967433744,-22.331860269714905,12.144932516697189
chain_0,15.237621923607367,-6.40967378493836,39.84776159511981,-33.290026196462165,11.074377640562243
chain_0,21.512520092334643,19.47851346877625,-24.38540719142907,4.119034889148722,11.078739269754124
chain_0,13.75930255613532,15.77587519901313,-1.2311106459474177,-15.771554331115764,11.283497367128971
chain_0,20.935972595968764,-10.854918889879274,11.046186923169197,-3.145698472075854,13.494234439294598
chain_0,15.891926543727855,13.816553978447326,-20.93743574805169,10.432747685220662,9.370567058078834
chain_0,21.687443352977265,14.985172768971962,7.234822357426026,-20.7998272049048,12.723406848906825
chain_0,22.512587199130312,5.75223997096132,14.734886480800656,-23.26185702441472,11.827819795866969
chain_0,22.248616912292302,10.869222219360186,12.4958602673341,-21.05490034290139,12.225409366131451
chain_0,15.654508251931508,37.72700658125618,-35.18157425604643,1.796075135055782,12.237266521691266
chain_0,16.476284361085273,19.920821786595493,-4.156904963349362,-18.661801275833696,11.931305953724015
chain_0,16.864439120594604,19.87670696587537,-3.532029360590053,-20.121771922670035,12.953711325223988
chain_0,18.33864310146858,11.790333856234902,-14.60808952403346,5.149911273784457,8.859841874905651
chain_0,16.69628766297163,4.911900283654591,15.332704831888664,-19.220784121783105,11.73139191204408
chain_0,17.722729262193443,-4.233715511192642,22.72671423957126,-20.33794110832264,11.335671468580868
chain_0,12.77157848590709,0.0741774325274551,9.692573599566796,-8.227909585390316,11.779209290633643
chain_0,19.483091753373483,19.48146001057677,-36.42335664587824,14.357566123175673,11.35210561748472
chain_0,16.78202597254158,2.5118259319718623,39.75900731549401,-39.6965219866076,10.190781765253089
chain_0,17.753899236111298,17.812073649917217,15.581752420413055,-31.479783749237665,11.489068982348948
chain_0,17.18895943519479,-5.967129279165654,14.827012805181766,-6.983538251772135,10.340620437063803
chain_0,17.32681847957365,-2.239408198204516,18.27509862716253,-14.86130171309491,9.164446646297906
chain_0,17.0478078803216,26.185928258326538,-4.051152283739869,-23.106510292563435,13.989361906371151
chain_0,15.36042584603008,-23.95189522573077,36.02502705065446,-5.640106131241403,12.228049603206376
chain_0,18.29859678948765,-12.85616706179098,39.574694084711794,-34.85034802731367,14.188768058935764
chain_0,17.257953659652486,10.529922494154125,29.520915164302345,-32.25337292887069,14.351032677244609
chain_0,20.08777569745042,4.925990812133984,19.227035998206063,-18.55307630528146,13.023862886009429
chain_0,22.42810893504773,-4.84100401959857,1.684623172825226,4.006721958635285,13.632555631603443
chain_0,22.20817870553697,-3.278632599912989,0.2614252729217368,2.0888311896179945,13.499955455119654
chain_0,17.367519590638057,0.4185745349113417,7.517959359584752,-8.8273527003771,11.612615491114369
chain_0,18.74474868405312,-4.33300793715585,22.547625388313328,-19.458994728117595,9.714941343330826
chain_0,18.94412145768093,-4.349071220693276,12.77729019081526,-9.070539967998943,10.175518967157853
chain_0,16.76967301425279,24.6800756921492,-10.763195098885488,-14.037221732068904,12.236910188299248
chain_0,18.537569364506403,-4.646291956911715,10.223870875254809,-3.8373947664962618,8.606585271221617
chain_0,19.40835325020544,46.16845001172619,-34.930130916048896,-12.723085352004473,12.917376240698903
chain_0,22.15888453250571,48.69702805745756,-12.8962067723214,-33.74766265649171,15.155404279236723
chain_0,20.817284881911554,42.8877352470233,-14.40266353079924,-24.20047433969721,16.839193712047845
chain_0,24.514283248691516,47.77467268104407,-51.71228281079293,7.594428704273108,14.81820735198641
chain_0,17.049918803855224,3.816781819759981,0.1027249674400466,-6.544294260091741,14.622253460037014
chain_0,18.93512585926341,-1.1312712892020635,19.60304898350237,-14.380402874909093,9.266333663473668
chain_0,15.241270106731813,3.2954100802043267,-15.451603294696042,8.012662332118536,10.271199738271624
chain_0,13.028967854556845,-0.4346732252390324,-6.4528944314836245,8.896633359836306,10.145657881307722
chain_0,13.826530560709257,-0.2254788442657293,-11.240993653913316,12.05603048510887,10.297614803846264
chain_0,21.39699350899136,25.032434015937092,7.291225802934092,-31.378598136754437,11.208188649386448
chain_0,21.412940077597373,26.683113168852163,8.883787621342885,-28.97770275812261,11.119982312077632
chain_0,13.423282766028247,25.80821418931827,-17.507372680215678,-9.681484345214956,10.790749508415574
chain_0,16.449162483054515,11.794682052848144,-20.15319800461217,11.943966371237153,12.01547295978173
chain_0,21.75785068403505,-2.727287807367909,21.06827762441968,-21.63454830845562,10.247630418700677
chain_0,18.08435824205638,-3.753593522223755,18.84549117106057,-18.450871331808205,13.18076386508976
chain_0,17.240176692857137,27.94027521197809,-31.2516030193756,5.581169289449683,8.889811057521376
chain_0,18.008259255308054,28.66820366514776,-28.952769681518465,0.6635487227134821,8.914707511808519
chain_0,18.005802545523235,-6.641194002949916,24.34816961757597,-16.561659507228597,10.330640007288062
chain_0,18.500497107531885,-9.135874597064184,31.98338193705477,-21.043580722330336,10.172143038476444
chain_0,19.60174574500766,-15.150543622874332,34.096165379391614,-20.389657230918665,10.17905807400036
chain_0,16.015597766623582,41.370757812389165,-35.69391384720934,-6.963566722796697,11.099365926086213
chain_0,13.735765800258733,18.192540681564523,-41.569050195255066,21.85045098339802,10.291907138757187
chain_0,14.79321223209156,25.15590504118149,-42.82338110113459,18.56985925825391,8.95462987678829
chain_0,16.386140772720864,8.319702950592259,10.601812109640084,-18.54236751325401,10.287718208252956
chain_0,14.880985260606137,-10.040375021458416,28.258907696853967,-18.085584178712477,9.04697927288721
chain_0,15.474072776567713,-7.403258569188599,25.14087057662588,-17.565712130311745,9.265010840077483
