alpha,beta,chain
0.2120226,0.0045217406,chain_0
0.194261,0.008113162,chain_0
0.16402917,0.011992817,chain_0
0.19381508,0.0065079015,chain_0
0.18471164,0.007016075,chain_0
0.19078636,0.006970984,chain_0
0.19668046,0.006012924,chain_0
0.18428458,0.0022398457,chain_0
0.18903315,0.0059002084,chain_0
0.18574873,0.0062205293,chain_0
0.19375348,0.008459448,chain_0
0.18586934,0.0044456297,chain_0
0.20434278,0.005208664,chain_0
0.17532295,0.003859374,chain_0
0.20081727,0.006726316,chain_0
0.1912579,0.010546418,chain_0
0.19186315,0.005309547,chain_0
0.20949745,0.007936751,chain_0
0.196409,0.0138982115,chain_0
0.20024574,0.012297433,chain_0
0.20613627,0.0075385086,chain_0
0.19554569,0.0053213798,chain_0
0.16921988,0.0031565232,chain_0
0.19166426,0.006548245,chain_0
0.19941874,0.006503388,chain_0
0.19240484,0.00923145,chain_0
0.19676091,0.0077556768,chain_0
0.20958604,0.004016941,chain_0
0.18323663,0.0048314948,chain_0
0.20372613,0.008148553,chain_0
0.19738472,0.009172566,chain_0
0.19121899,0.010172602,chain_0
0.18953097,0.00901732,chain_0
0.18211302,0.008526199,chain_0
0.2103392,0.0060197273,chain_0
0.17866828,0.007221774,chain_0
0.1963006,0.006091331,chain_0
0.2125941,0.0045574233,chain_0
0.18484831,0.0037128879,chain_0
0.18633586,0.0098409,chain_0
0.1784293,0.0057997014,chain_0
0.20001751,0.0070489715,chain_0
0.18127182,0.007618052,chain_0
0.19051617,0.005846151,chain_0
0.18804348,0.004069081,chain_0
0.20425157,0.0039398796,chain_0
0.19689746,0.0044072596,chain_0
0.19897111,0.004780616,chain_0
0.22403085,0.008050056,chain_0
0.21117033,0.00529455,chain_0
0.18498696,0.009392129,chain_0
0.18846425,0.00430079,chain_0
0.20577803,0.004086607,chain_0
0.207673,0.008720301,chain_0
0.18856137,0.005683732,chain_0
0.20575503,0.0052732485,chain_0
0.18943208,0.007781635,chain_0
