alpha,beta,chain
0.20342435,0.0077009345,chain_0
0.19606128,0.008753207,chain_0
0.20954984,0.0051251436,chain_0
0.1813636,0.006482577,chain_0
0.19192849,0.0076938653,chain_0
0.18300408,0.008411373,chain_0
0.21647792,0.006330328,chain_0
0.19231895,0.007222908,chain_0
0.20849279,0.008192886,chain_0
0.18509659,0.0058217915,chain_0
0.1807126,0.008290251,chain_0
0.19361013,0.004838223,chain_0
0.19505675,0.007853455,chain_0
0.18665165,0.007257342,chain_0
0.18139063,0.00844725,chain_0
0.2105867,0.00727759,chain_0
0.18752828,0.0042202207,chain_0
0.1800544,0.0059885266,chain_0
0.2005964,0.008288868,chain_0
0.19124447,0.010387506,chain_0
0.17902929,0.0045031873,chain_0
0.20645876,0.0065767425,chain_0
0.18739013,0.0065524206,chain_0
0.18580163,0.0028348533,chain_0
0.19950612,0.0036168585,chain_0
0.19101939,0.007596053,chain_0
0.19241601,0.01032356,chain_0
0.19343102,0.007190036,chain_0
0.18541445,0.0054237614,chain_0
0.20539968,0.0075768875,chain_0
0.19779631,0.009101986,chain_0
0.17992815,0.004027946,chain_0
0.20678253,0.005525182,chain_0
0.19921984,0.0083569735,chain_0
0.19789515,0.005640145,chain_0
0.1942117,0.008137214,chain_0
0.20934317,0.009592033,chain_0
0.18637843,0.010151085,chain_0
0.19902942,0.005851306,chain_0
0.19045842,0.0054002185,chain_0
0.1780221,0.015080423,chain_0
0.19535644,0.004813658,chain_0
0.19838214,0.005102631,chain_0
0.2008135,0.0112194,chain_0
0.18830873,0.008034106,chain_0
0.1867248,0.008593013,chain_0
0.19825341,0.0051262924,chain_0
0.19582067,0.005710451,chain_0
0.1930064,0.006672467,chain_0
0.19277371,0.007828203,chain_0
0.18587811,0.0042031403,chain_0
0.18477097,0.0050537568,chain_0
0.19815691,0.0071884766,chain_0
0.18899368,0.0058639925,chain_0
0.17852262,0.010370228,chain_0
0.20311725,0.009274561,chain_0
0.1958411,0.007492436,chain_0
0.1899003,0.0057668206,chain_0
0.1749727,0.006181997,chain_0
0.2045051,0.007187356,chain_0
0.19128403,0.010995705,chain_0
0.1866761,0.008213644,chain_0
0.20369484,0.0052267537,chain_0
0.17356513,0.00794942,chain_0
0.18939906,0.0066132434,chain_0
0.19124088,0.0085549215,chain_0
0.18660256,0.0062188893,chain_0
0.21094231,0.008578381,chain_0
0.19813713,0.007800443,chain_0
0.17092136,0.0072552,chain_0
0.17760117,0.0074107805,chain_0
0.18084541,0.0070124795,chain_0
0.20679244,0.0066568092,chain_0
0.19741955,0.006667658,chain_0
0.18386777,0.013165602,chain_0
0.19792596,0.005280868,chain_0
0.2064545,0.0074934545,chain_0
0.18406223,0.010439694,chain_0
0.20378038,0.0050716572,chain_0
0.17822637,0.0044938843,chain_0
0.20561287,0.007834625,chain_0
0.21487683,0.006785472,chain_0
